team,week,adjustment,note
ATL,1,-1,Tua Tagovailoa and Michael Penix Jr. both out - QB room decimated
PIT,1,-1,Joey Porter Jr. out
TB,1,-1,Jalen McMillan out
DET,1,-1,Kerby Joseph and Brian Branch both out - starting safety duo
NO,1,-1,Alvin Kamara out
NO,1,-1,Cameron Jordan out
BAL,1,-1,Nnamdi Madubuike out
GB,1,-1,Josh Jacobs out
GB,1,-1,Micah Parsons out
GB,1,-1,Aaron Banks out
PHI,1,-1,Jonathan Greenard out
ATL,1,-1,Jalon Walker IR
CHI,1,-1,Coby Bryant IR
HOU,1,-1,Tank Dell and Jayden Higgins both IR
LAC,1,-1,Tyler Biadasz IR
WAS,1,-1,Laremy Tunsil IR
LA,1,-1,Aaron Donald out
SEA,1,-1,Nick Emmanwori out
WAS,2,-1,Laremy Tunsil IR
ATL,2,-1,Tua Tagovailoa and Michael Penix Jr. both out/doubtful
MIN,2,-1,Kyler Murray out
SEA,2,-1,Sam Darnold out
HOU,2,-1,Nico Collins out
NYJ,2,-1,Minkah Fitzpatrick out
LV,2,-1,Brock Bowers doubtful
PHI,2,-1,Jonathan Greenard out
BAL,2,-1,Zay Flowers doubtful
BAL,2,-1,Nnamdi Madubuike out
WAS,2,-1,Frankie Luvu out
NE,2,-1,A.J. Brown IR
NYG,2,-1,Paulson Adebo IR
PIT,2,-1,Michael Pittman DNP - Questionable
KC,2,-1,Mansoor Delane DNP - Questionable
LA,2,-1,Puka Nacua DNP - Questionable
ATL,2,-1,Jalon Walker IR (carried from Wk1)
DET,2,-1,Kerby Joseph reserve (carried from Wk1)
DET,2,-1,Brian Branch reserve (carried from Wk1)
GB,2,-1,Micah Parsons reserve (carried from Wk1)
CHI,2,-1,Coby Bryant IR (carried from Wk1)
HOU,2,-1,Tank Dell reserve (carried from Wk1)
HOU,2,-1,Jayden Higgins IR (carried from Wk1)
LAC,2,-1,Tyler Biadasz IR (carried from Wk1)
GB,2,-1,Josh Jacobs out for foreseeable future (exempt list)
GB,2,-1,Aaron Banks did not play Week 2
