season,week,pool_id,pool_label,closed_date,no_of_winners,winning_selections_required,winning_selections_total,share_prize,upsets,total_pot
2025,1,,NFL - WEEK 1,,137,14,14,2393.0,3,327841
2025,2,,NFL - WEEK 2,,51,15,15,6874.0,3,350574
2025,3,,NFL - WEEK 3,,6,15,15,56943.0,4,341658
2025,4,,NFL - WEEK 4,,46,14,14,6902.0,4,317492
2025,5,,NFL - WEEK 5,,5,12,12,56812.0,7,284060
2025,6,,NFL - WEEK 6,,36,13,13,8122.0,3,292392
2025,7,,NFL - WEEK 7,,1030,13,13,273.0,2,281190
2025,8,,NFL - WEEK 8,,75,12,12,3863.0,2,289725
2025,9,,NFL - WEEK 9,,1,13,13,273120.0,6,273120
2025,10,,NFL - WEEK 10,,,12,12,,5,268110
2025,11,,NFL - WEEK 11,,,,,,,269080
2025,12,,NFL - WEEK 12,,,,,,,274635
2025,13,,NFL - WEEK 13,,,,,,,263364
2025,14,,NFL - WEEK 14,,,,,,,260367
2025,15,,NFL - WEEK 15,,,,,,,291426
2025,16,,NFL - WEEK 16,,,,,,,246954
2025,17,,NFL - WEEK 17,,,,,,,212655
2025,18,,NFL - WEEK 18,,,,,,,240861
2024,1,,NFL - WEEK 1,,65,14,14,6433.0,3,418145
2024,2,,NFL - WEEK 2,,1,15,15,407613.0,8,407613
2024,3,,NFL - WEEK 3,,1,15,15,367977.0,8,367977
2024,4,,NFL - WEEK 4,,3,15,15,122619.0,7,367857
2024,5,,NFL - WEEK 5,,20,12,12,16932.0,3,338640
2024,6,,NFL - WEEK 6,,,12,12,,,351117
2024,7,,NFL - WEEK 7,,,,,,,370806
2024,8,,NFL - WEEK 8,,13,,,30348.0,,394524
2024,9,,NFL - WEEK 9,,295,,,1295.0,,382025
2024,10,,NFL - WEEK 10,,94,,,3651.0,,343194
2024,11,,NFL - WEEK 11,,71,,,4885.0,,346835
2024,12,,NFL - WEEK 12,,35,,,9800.0,,343000
2024,13,,NFL - WEEK 13,,1865,,,161.0,,300265
2024,14,,NFL - WEEK 14,,149,,,2155.0,,321095
2024,15,,NFL - WEEK 15,,571,,,655.0,,374005
2024,16,,NFL - WEEK 16,,69,,,4518.0,,311742
2024,17,,NFL - WEEK 17,,,,,,,251271
2024,18,,NFL - WEEK 18,,,,,,,285243
2023,1,,NFL - WEEK 1,,7,15,15,70566.43,7,493965.00999999995
2023,2,,NFL - WEEK 2,,5,15,15,88967.4,5,444837
2023,3,,NFL - WEEK 3,,2,15,15,254074.5,6,508149
2023,4,,NFL - WEEK 4,,105,14,14,4339.51,3,455648.55000000005
2023,5,,NFL - WEEK 5,,100,12,12,4405.77,4,440577.00000000006
2023,6,,NFL - WEEK 6,,25,13,13,18456.12,4,461403
2023,7,,NFL - WEEK 7,,15,12,12,28399.0,6,425985
2023,8,,NFL - WEEK 8,,30,15,15,15165.6,6,454968
2023,9,,NFL - WEEK 9,,210,12,12,1770.93,2,371895.3
2023,10,,NFL - WEEK 10,,15,12,12,25706.6,6,385599
2023,11,,NFL - WEEK 11,,100,13,13,4474.32,3,447432
2023,12,,NFL - WEEK 12,,105,12,12,3274.23,3,343794.15
2023,13,,NFL - WEEK 13,,14,12,12,27403.0,3,383642
2023,14,,NFL - WEEK 14,,5,14,14,82711.0,7,413555
2023,15,,NFL - WEEK 15,,64,12,12,5795.0,4,370880
2023,16,,NFL - WEEK 16,,9,13,13,41916.0,4,377244
2023,17,,NFL - WEEK 17,,12,14,14,33036.0,4,396432
2023,18,,NFL - WEEK 18,,24,14,14,15424.0,5,370176
2022,1,,NFL - WEEK 1,,4,15,15,122846.25,5,491385
2022,2,,NFL - WEEK 2,,38,14,15,12297.71,6.5,467312.98
2022,3,,NFL - WEEK 3,,3,15,15,157659.0,9,472977
2022,4,,NFL - WEEK 4,,17,,,26408.29,,448940.93
2022,5,,NFL - WEEK 5,,49,,,9817.47,,481056.02999999997
2022,6,,NFL - WEEK 6,,4,,,124594.5,,498378
2022,7,,NFL - WEEK 7,,3,,,159104.0,,477312
2022,8,,NFL - WEEK 8,,128,13,13,3675.0,4,470400
2022,9,,NFL - WEEK 9,,57,12,12,8148.26,4,464450.82
2022,10,,NFL - WEEK 10,,25,12,12,18027.2,4,450680
2022,11,,NFL - WEEK 11,,169,13,13,2728.97,2,461195.93
2022,12,,NFL - WEEK 12,,38,13,13,11547.95,4,438822.10000000003
2022,13,,NFL - WEEK 13,,911,14,14,516.34,1.5,470385.74000000005
2022,14,,NFL - WEEK 14,,74,12,12,5849.88,5,432891.12
2022,15,,NFL - WEEK 15,,104,12,12,3585.98,4,372941.92
2022,16,,NFL - WEEK 16,,17,15,15,23903.82,5,406364.94
2022,17,,NFL - WEEK 17,,83,14,14,5236.59,5,434636.97000000003
2022,18,,NFL - WEEK 18,,39,13,13,9957.23,4,388331.97
