team,rating,as_of
LA,0.5,2026-08-26
BAL,1.7,2026-08-26
BUF,2,2026-08-26
SF,2.25,2026-08-26
KC,2.5,2026-08-26
SEA,3,2026-08-26
LAC,3,2026-08-26
NE,3.5,2026-08-26
HOU,4,2026-08-26
DAL,4.25,2026-08-26
GB,4.5,2026-08-26
PHI,4.5,2026-08-26
DET,4.75,2026-08-26
CIN,4.75,2026-08-26
DEN,4.75,2026-08-26
JAX,5,2026-08-26
CHI,6,2026-08-26
MIN,6.25,2026-08-26
PIT,6.25,2026-08-26
TB,7.5,2026-08-26
IND,8.25,2026-08-26
NYG,8.25,2026-08-26
WAS,8.5,2026-08-26
ATL,9.5,2026-08-26
NO,9.75,2026-08-26
CAR,10,2026-08-26
TEN,10,2026-08-26
LV,10.5,2026-08-26
ARI,10.75,2026-08-26
NYJ,12,2026-08-26
CLE,12.5,2026-08-26
MIA,13.25,2026-08-26
