team,rating,as_of,final_team_hfa
LA,0.5,2026-08-26,0.83
BAL,1.7,2026-08-26,0.28
BUF,2.0,2026-08-26,2.28
SF,2.25,2026-08-26,0.63
KC,2.5,2026-08-26,1.83
SEA,3.0,2026-08-26,0.25
LAC,3.0,2026-08-26,0.25
NE,3.5,2026-08-26,0.83
HOU,4.0,2026-08-26,1.21
DAL,4.25,2026-08-26,1.7
GB,4.5,2026-08-26,2.84
PHI,4.5,2026-08-26,1.24
DET,4.75,2026-08-26,2.4
CIN,4.75,2026-08-26,1.37
DEN,4.75,2026-08-26,3.51
JAX,5.0,2026-08-26,2.73
CHI,6.0,2026-08-26,4.05
MIN,6.25,2026-08-26,2.37
PIT,6.25,2026-08-26,2.39
TB,7.5,2026-08-26,0.7
IND,8.25,2026-08-26,2.27
NYG,8.25,2026-08-26,0.86
WAS,8.5,2026-08-26,1.16
ATL,9.5,2026-08-26,1.8
NO,9.75,2026-08-26,1.19
CAR,10.0,2026-08-26,2.39
TEN,10.0,2026-08-26,2.48
LV,10.5,2026-08-26,2.82
ARI,10.75,2026-08-26,0.75
NYJ,12.0,2026-08-26,3.01
CLE,12.5,2026-08-26,3.73
MIA,13.25,2026-08-26,3.86
