team,league_baseline,manual_adjustment,final_team_hfa,reference_point_estimate_rw,vs_league_avg,p_value_vs_league,statistically_distinguishable_90pct
DEN,1.92,1.08,3.0,3.37,0.54,0.545,False
GB,1.92,0.8300000000000001,2.75,2.92,1.65,0.035,True
SEA,1.92,0.5800000000000001,2.5,0.46,0.12,0.893,False
PIT,1.92,0.33000000000000007,2.25,2.53,0.77,0.29,False
KC,1.92,0.33000000000000007,2.25,1.48,-0.86,0.316,False
BAL,1.92,0.33000000000000007,2.25,0.64,0.13,0.88,False
ARI,1.92,0.0,1.92,0.82,-0.81,0.367,False
BUF,1.92,0.0,1.92,2.72,0.81,0.403,False
JAX,1.92,0.0,1.92,2.65,0.23,0.805,False
LV,1.92,0.0,1.92,2.79,0.21,0.804,False
CHI,1.92,0.0,1.92,3.59,0.72,0.392,False
CIN,1.92,0.0,1.92,1.38,-0.31,0.718,False
CLE,1.92,0.0,1.92,3.51,0.54,0.463,False
ATL,1.92,0.0,1.92,1.73,-0.08,0.922,False
DAL,1.92,0.0,1.92,1.61,-0.4,0.656,False
IND,1.92,0.0,1.92,2.6,0.4,0.649,False
NYG,1.92,0.0,1.92,1.0,-0.79,0.365,False
NYJ,1.92,0.0,1.92,3.05,0.91,0.314,False
CAR,1.92,0.0,1.92,2.27,-0.29,0.746,False
LA,1.92,0.0,1.92,1.09,-0.86,0.367,False
DET,1.92,0.0,1.92,2.69,0.58,0.488,False
HOU,1.92,0.0,1.92,1.43,-0.29,0.729,False
TEN,1.92,0.0,1.92,2.45,0.2,0.829,False
TB,1.92,0.0,1.92,0.71,-1.52,0.081,True
MIA,1.92,0.0,1.92,3.85,1.03,0.26,False
NO,1.92,0.0,1.92,1.08,-0.48,0.585,False
NE,1.92,0.0,1.92,1.07,0.07,0.941,False
MIN,1.92,0.0,1.92,2.83,0.81,0.321,False
LAC,1.92,0.0,1.92,0.33,-1.07,0.189,False
PHI,1.92,0.0,1.92,1.3,-0.67,0.438,False
WAS,1.92,0.0,1.92,0.46,-1.67,0.036,True
SF,1.92,0.0,1.92,1.18,0.17,0.857,False
